"Story","Title","Result","Date","Stability","Duration (s)"
"NewTours Login","User Log in","FAILURE","2018-10-24T00:33:41.7-05:00[America/Bogota]","0.0","77.65"
"NewTours Register","NewTours Register","SUCCESS","2018-10-24T00:35:27.944-05:00[America/Bogota]","0.0","165.16"
