"Story","Title","Result","Date","Stability","Duration (s)"
"NewTours Login","User Log in","FAILURE","2018-10-23T07:59:20.424-05:00[America/Bogota]","0.0","98.09"
"NewTours Login","User Log in","FAILURE","2018-10-23T08:18:04.738-05:00[America/Bogota]","0.0","120.91"
